dormitorios,banos,distrito,precio,area,latitud,longitud,fecha_publicacion,antiguedad,direccion,precision,type,precioxm2,dorm_ban
2.0,3.0,barranco,3400.0,135.0,-12.1335197,-77.02031620000001,47,30.0,"Av. P.º de la República 6465, Lima 15047, Peru",ROOFTOP,premise,25.185185185185187,"2.0,3.0"
2.0,1.0,barranco,2000.0,75.0,-12.1369881,-77.0192757,5,5.0,"Jr. Carlos Arrieta 408, Barranco 15063, Peru",ROOFTOP,street_address,26.666666666666668,"2.0,1.0"
2.0,2.0,barranco,3190.0,55.0,-12.1365825,-77.0225488,29,1.0,"Av. Almte. Miguel Grau 1554, Barranco 15063, Peru",ROOFTOP,street_address,58.0,"2.0,2.0"
3.0,2.0,barranco,3150.0,89.0,-12.1390544,-77.02473599999999,3,10.0,"Dpto. 1302, Av. el Sol Oeste 335, Barranco 15063, Peru",ROOFTOP,establishment,35.39325842696629,"3.0,2.0"
1.0,1.0,barranco,2400.0,55.0,-12.139299788565287,-77.02064590845947,54,2.0,"Av. el Sol Este 289, Barranco 15063, Peru",ROOFTOP,street_address,43.63636363636363,"1.0,1.0"
1.0,1.0,barranco,2325.0,42.0,-12.139595423701138,-77.02301722988587,5,2.0,"Av. el Sol 161, Barranco 15063, Peru",ROOFTOP,establishment,55.357142857142854,"1.0,1.0"
1.0,1.0,barranco,3145.0,85.0,-12.14313482451815,-77.0236228013554,18,3.0,"Jirón Sáenz Peña 206-2, Lima 15063, Peru",ROOFTOP,street_address,37.0,"1.0,1.0"
1.0,1.0,barranco,1970.0,30.0,-12.13807943948609,-77.02233168465577,9,1.0,"Chipoco, Av. Almte. Miguel Grau, Barranco 15063, Peru",GEOMETRIC_CENTER,bus_station,65.66666666666667,"1.0,1.0"
2.0,2.0,barranco,2625.0,100.0,-12.0914273,-76.958626,5,15.0,"Las Dalias 170, Lima 15024, Peru",ROOFTOP,street_address,26.25,"2.0,2.0"
3.0,3.0,barranco,7833.0,240.0,-12.14268,-77.0248598,334,10.0,"Mal. Souza 112, Barranco 15063, Peru",ROOFTOP,premise,32.6375,"3.0,3.0"
1.0,1.0,barranco,2000.0,40.0,-12.1521082,-77.0211934,92,5.0,"Jirón 2 de Mayo 187, Barranco 15063, Peru",ROOFTOP,premise,50.0,"1.0,1.0"
3.0,4.0,barranco,18000.0,450.0,-12.152397729745305,-77.02416237864301,8,2.0,"RXXG+393, Barranco 15063, Peru",ROOFTOP,establishment,40.0,"3.0,4.0"
4.0,4.0,barranco,19855.0,470.0,-12.1439937,-77.0245734,365,15.0,"Mal. Souza 126, Barranco 15063, Peru",ROOFTOP,street_address,42.244680851063826,"4.0,4.0"
2.0,1.0,barranco,2888.0,60.0,-12.1365798,-77.0225352,17,4.0,"Av. Almte. Miguel Grau 1554, Barranco 15063, Peru",ROOFTOP,street_address,48.13333333333333,"2.0,1.0"
1.0,1.0,barranco,2590.0,43.0,-12.1394382335607,-77.02104203331297,211,3.0,"Av. el Sol Este 230, Barranco 15063, Peru",ROOFTOP,street_address,60.23255813953488,"1.0,1.0"
1.0,2.0,barranco,2470.0,46.0,-12.139908785656583,-77.02363978735,330,9.0,"Av. San Martín 645, Barranco 15063, Peru",ROOFTOP,street_address,53.69565217391305,"1.0,2.0"
1.0,1.0,barranco,2300.0,36.0,-12.1366941,-77.0224643,0,2.0,"Av. Almte. Miguel Grau 1540, Barranco 15063, Peru",ROOFTOP,establishment,63.888888888888886,"1.0,1.0"
1.0,1.0,barranco,2600.0,50.0,-12.15276114370658,-77.02253047790987,2,7.0,"Av. Pedro de Osma 301, Barranco 15063, Peru",ROOFTOP,establishment,52.0,"1.0,1.0"
1.0,1.0,barranco,2516.0,40.0,-12.14165426500674,-77.0228948865082,27,9.0,"Av. San Martín 450, Barranco 15063, Peru",ROOFTOP,establishment,62.9,"1.0,1.0"
1.0,1.0,barranco,2100.0,37.0,-12.139183188989064,-77.01902523005941,5,1.0,"Pje. El Sol 555, Barranco 15063, Peru",ROOFTOP,street_address,56.75675675675676,"1.0,1.0"
1.0,2.0,barranco,2050.0,60.0,-12.156885,-77.0231706,18,1.0,"Av. Chorrillos 162, Chorrillos 15063, Peru",ROOFTOP,street_address,34.166666666666664,"1.0,2.0"
1.0,1.0,barranco,2450.0,41.0,-12.138500525722986,-77.02480296042711,114,0.0,"VX6G+H3P, Barranco 15063, Peru",ROOFTOP,establishment,59.75609756097561,"1.0,1.0"
2.0,2.0,barranco,2738.0,63.0,-12.1537037,-77.02298659999997,12,7.0,"Av. Pedro de Osma 405, Barranco 15063, Peru",ROOFTOP,street_address,43.46031746031746,"2.0,2.0"
1.0,2.0,barranco,2960.0,87.0,-12.141257289013865,-77.02296284774629,10,5.0,"Jirón Centenario 195, Barranco 15063, Peru",ROOFTOP,establishment,34.02298850574713,"1.0,2.0"
3.0,2.0,barranco,4088.0,100.0,-12.1307129,-77.0275633,15,4.0,"C. Juan Fanning 735, Miraflores 15074, Peru",ROOFTOP,street_address,40.88,"3.0,2.0"
1.0,1.0,barranco,2690.0,50.0,-12.1388372,-77.0251923,177,0.0,"Av. el Sol 385, Lima 15063, Peru",ROOFTOP,street_address,53.8,"1.0,1.0"
1.0,1.0,barranco,2183.0,41.0,-12.140121755512016,-77.02357756812285,208,8.0,"Av. San Martín 625, Barranco 15063, Peru",ROOFTOP,establishment,53.24390243902439,"1.0,1.0"
1.0,1.0,barranco,3200.0,41.0,-12.1397041,-77.0227408,166,3.0,"Av. el Sol Oeste 145, Barranco 15063, Peru",ROOFTOP,street_address,78.04878048780488,"1.0,1.0"
1.0,2.0,barranco,2325.0,64.0,-12.1420978,-77.0229591,12,8.0,"Jr. Pérez Roca 168, Barranco 15063, Peru",ROOFTOP,street_address,36.328125,"1.0,2.0"
